,,ML1,ML2,ML3,ML4,ML5,ML6,ML7,ML8,ML9,ML10,ML11
CV,APP,0.59952,0.571155,0.436772,0.527506,0.601515,0.341718,0.611862,0.60683,0.56649,0.597994,0.341718
TFIDF,APP,0.618806,0.594614,0.53324,0.445546,0.597,0.361331,0.624086,0.602517,0.611191,0.608739,0.341718
CBOW,APP,0.522829,0.339846,0.333051,0.295421,0.463648,0.556931,0.516794,0.50957,0.469308,0.520587,0.556131
SKG,APP,0.579566,0.462877,0.340071,0.417736,0.475793,0.535925,0.53888,0.526611,0.498903,0.497584,0.562298
W2V,APP,0.630234,0.610905,0.346494,0.601356,0.495497,0.604606,0.610109,0.598079,0.540432,0.560993,0.599317
GLOVE,APP,0.631428,0.638223,0.372351,0.587508,0.497797,0.599689,0.589459,0.553213,0.532892,0.585565,0.588419
CV,JIRA,0.7474,0.696999,0.587658,0.69096,0.718054,0.693904,0.752989,0.734353,0.74598,0.743002,0.475704
TFIDF,JIRA,0.747018,0.71054,0.741314,0.700944,0.719298,0.715025,0.749963,0.745429,0.746168,0.754615,0.488217
CBOW,JIRA,0.477829,0.475704,0.47882,0.480095,0.656373,0.728619,0.70603,0.696751,0.695102,0.689704,0.718296
SKG,JIRA,0.72356,0.618404,0.48178,0.654256,0.689703,0.735155,0.731697,0.738018,0.731025,0.727758,0.750739
W2V,JIRA,0.759706,0.696654,0.485563,0.735364,0.703214,0.761283,0.72356,0.719152,0.709799,0.716058,0.757986
GLOVE,JIRA,0.762313,0.711025,0.490139,0.75273,0.679504,0.748634,0.722094,0.70634,0.704096,0.703361,0.748912
CV,STACK,0.734229,0.719202,0.7053,0.683886,0.766058,0.702827,0.746607,0.753647,0.754817,0.762876,0.702827
TFIDF,STACK,0.711584,0.721402,0.71556,0.666927,0.753722,0.702827,0.759945,0.75367,0.750279,0.754033,0.702498
CBOW,STACK,0.702827,0.702827,0.704495,0.456476,0.681935,0.706806,0.705184,0.708168,0.703088,0.701506,0.704073
SKG,STACK,0.707164,0.702827,0.703646,0.499534,0.704712,0.718572,0.725269,0.722512,0.712184,0.715874,0.704073
W2V,STACK,0.764768,0.702827,0.702084,0.737362,0.710938,0.735127,0.719209,0.724196,0.719246,0.722308,0.751508
GLOVE,STACK,0.752501,0.702827,0.703124,0.711418,0.690011,0.729217,0.716372,0.713404,0.706309,0.719706,0.749364
