,,ML1,ML2,ML3,ML4,ML5,ML6,ML7,ML8,ML9,ML10,ML11
CV,APP,0.749585,0.769501,0.577755,0.66822,0.713741,0.305649,0.729606,0.714446,0.690515,0.704088,0.305649
TFIDF,APP,0.734989,0.732114,0.6719,0.610113,0.714651,0.690823,0.737797,0.70876,0.742749,0.727294,0.305649
CBOW,APP,0.644811,0.304547,0.302223,0.563561,0.595904,0.661404,0.612853,0.60003,0.553261,0.620583,0.653975
SKG,APP,0.681289,0.548599,0.428522,0.614023,0.576491,0.638781,0.652227,0.633547,0.611294,0.594734,0.701519
W2V,APP,0.744738,0.722532,0.38477,0.736375,0.609535,0.720908,0.723185,0.702924,0.65772,0.675999,0.73216
GLOVE,APP,0.745059,0.753522,0.45703,0.756819,0.63288,0.729602,0.691978,0.652265,0.630586,0.69611,0.721827
CV,JIRA,0.935597,0.889542,0.740765,0.864625,0.901219,0.895054,0.936774,0.917877,0.934183,0.926237,0.480667
TFIDF,JIRA,0.937028,0.89373,0.921723,0.87051,0.902336,0.906678,0.93208,0.92811,0.933538,0.942215,0.797731
CBOW,JIRA,0.585281,0.480667,0.585393,0.571965,0.816975,0.907428,0.886348,0.87836,0.863472,0.856319,0.893726
SKG,JIRA,0.909474,0.780916,0.670238,0.813494,0.857889,0.920813,0.91416,0.923689,0.908509,0.905318,0.93685
W2V,JIRA,0.94477,0.891355,0.58362,0.920191,0.873583,0.950508,0.909474,0.905284,0.881923,0.890221,0.942477
GLOVE,JIRA,0.948067,0.908167,0.651645,0.937032,0.8436,0.937681,0.908074,0.890943,0.874444,0.873673,0.931112
CV,STACK,0.780604,0.718447,0.690393,0.678188,0.757134,0.630436,0.76615,0.748473,0.777301,0.767895,0.630436
TFIDF,STACK,0.708696,0.69986,0.755113,0.670663,0.741263,0.630436,0.770651,0.749812,0.765819,0.758137,0.630327
CBOW,STACK,0.630436,0.630436,0.656108,0.648736,0.669981,0.683882,0.68154,0.691519,0.630857,0.653901,0.674414
SKG,STACK,0.697091,0.630436,0.648418,0.68094,0.690627,0.724441,0.725489,0.732802,0.679639,0.707026,0.674414
W2V,STACK,0.758421,0.630436,0.64764,0.73555,0.691903,0.755262,0.723965,0.750465,0.712885,0.701691,0.737863
GLOVE,STACK,0.745541,0.630436,0.651504,0.720557,0.677615,0.754625,0.70401,0.69595,0.67068,0.699441,0.73615
