,,,,ML1,ML2,ML3,ML4,ML5,ML6,ML7,ML8,ML9,ML10,ML11
CV,APP,0.542522,0.483871,0.434018,0.454545,0.533724,0.395894,0.548387,0.542522,0.507331,0.533724,0.395894,,
TFIDF,APP,0.554252,0.519062,0.489736,0.378299,0.524927,0.404692,0.557185,0.536657,0.548387,0.539589,0.395894,,
CBOW,APP,0.480938,0.392962,0.381232,0.31085,0.40176,0.495601,0.460411,0.454545,0.419355,0.460411,0.495601,,
SKG,APP,0.516129,0.41349,0.378299,0.369501,0.419355,0.475073,0.475073,0.466276,0.43695,0.439883,0.486804,,
W2V,APP,0.560117,0.542522,0.363636,0.524927,0.434018,0.533724,0.539589,0.533724,0.475073,0.495601,0.521994,,
GLOVE,APP,0.560117,0.568915,0.384164,0.498534,0.428152,0.536657,0.524927,0.492669,0.475073,0.519062,0.513196,,
CV,JIRA,0.62743,0.580994,0.508639,0.576674,0.599352,0.589633,0.62959,0.613391,0.62635,0.62311,0.470842,,
TFIDF,JIRA,0.62743,0.592873,0.62095,0.587473,0.600432,0.603672,0.62743,0.62311,0.62635,0.632829,0.476242,,
CBOW,JIRA,0.468683,0.470842,0.467603,0.425486,0.548596,0.611231,0.595032,0.588553,0.583153,0.577754,0.602592,,
SKG,JIRA,0.609071,0.530238,0.471922,0.551836,0.576674,0.617711,0.614471,0.61987,0.612311,0.610151,0.62959,,
W2V,JIRA,0.636069,0.590713,0.455724,0.617711,0.588553,0.638229,0.609071,0.605832,0.595032,0.600432,0.633909,,
GLOVE,JIRA,0.638229,0.601512,0.471922,0.63067,0.569114,0.62851,0.607991,0.596112,0.589633,0.589633,0.62635,,
CV,STACK,0.804667,0.72,0.794,0.691333,0.793333,0.794,0.804667,0.792667,0.808,0.806,0.794,,
TFIDF,STACK,0.793333,0.771333,0.795333,0.664667,0.778667,0.794,0.808,0.793333,0.803333,0.801333,0.793333,,
CBOW,STACK,0.794,0.794,0.792,0.400667,0.695333,0.794667,0.781333,0.787333,0.794,0.786,0.794,,
SKG,STACK,0.795333,0.794,0.792667,0.438,0.722,0.796667,0.792,0.792667,0.794667,0.792667,0.794,,
W2V,STACK,0.802667,0.794,0.784667,0.739333,0.736,0.798,0.794,0.796,0.794667,0.780667,0.773333,,
GLOVE,STACK,0.798667,0.794,0.78,0.703333,0.704,0.798667,0.792,0.789333,0.782667,0.777333,0.771333,,
